date,year,month,previous_day_rain_mm,season,rain_amount_mm,rain_occurrence,pred_rainfall,pred_rain_occurrence,rain_probability,error,sample_type
20150223,2015,2,1.7,Winter,9.8,1,5.088447311106559,1,0.9449212762158871,-4.711552688893442,train
20150224,2015,2,9.8,Winter,1.1,1,4.463175367972523,1,0.9194186436893224,3.363175367972523,train
20150225,2015,2,1.1,Winter,3.3,1,4.1635422663361705,1,0.8485870822130207,0.8635422663361707,train
20150226,2015,2,3.3,Winter,1.9,1,2.3972821892442555,1,0.7386477284729911,0.4972821892442556,train
20150227,2015,2,1.9,Winter,6.7,1,3.7360552011805495,1,0.7576912997848357,-2.9639447988194507,train
20150228,2015,2,6.7,Winter,0.2,1,1.3099213562318885,1,0.9037804635634064,1.1099213562318886,train
20150301,2015,3,0.2,Spring,0.6,1,0.9174419484436538,0,0.35236674595758555,0.3174419484436538,train
20150302,2015,3,0.6,Spring,1.7,1,1.6187699505883106,1,0.5645102786515289,-0.08123004941168932,train
20150303,2015,3,1.7,Spring,2.3,1,3.1760159333195386,1,0.892436927909701,0.8760159333195388,train
20150304,2015,3,2.3,Spring,3.9,1,2.6318305486852274,1,0.7497877530093813,-1.2681694513147725,train
20150305,2015,3,3.9,Spring,0.3,1,1.9262669203554992,1,0.942001856273403,1.6262669203554991,train
20150306,2015,3,0.3,Spring,0.0,0,0.6072863888649644,1,0.6397684354390113,0.6072863888649644,train
20150307,2015,3,0.0,Spring,0.0,0,0.6307259792986455,0,0.2848712188882354,0.6307259792986455,train
20150308,2015,3,0.0,Spring,0.0,0,0.6307259792986455,0,0.2848712188882354,0.6307259792986455,train
20150309,2015,3,0.0,Spring,0.0,0,0.6307259792986455,0,0.2848712188882354,0.6307259792986455,train
20150310,2015,3,0.0,Spring,0.2,1,0.6307259792986455,0,0.2848712188882354,0.4307259792986455,train
20150311,2015,3,0.2,Spring,0.1,0,0.9174419484436538,0,0.35236674595758555,0.8174419484436538,train
20150312,2015,3,0.1,Spring,0.0,0,1.1590067184961645,0,0.3776896148669129,1.1590067184961645,train
20150313,2015,3,0.0,Spring,0.0,0,0.6307259792986455,0,0.2848712188882354,0.6307259792986455,train
20150314,2015,3,0.0,Spring,0.0,0,0.6307259792986455,0,0.2848712188882354,0.6307259792986455,train
20150315,2015,3,0.0,Spring,0.3,1,0.6307259792986455,0,0.2848712188882354,0.3307259792986455,train
20150316,2015,3,0.3,Spring,0.1,0,0.6072863888649644,1,0.6397684354390113,0.5072863888649645,train
20150317,2015,3,0.1,Spring,0.0,0,1.1590067184961645,0,0.3776896148669129,1.1590067184961645,train
20150318,2015,3,0.0,Spring,0.0,0,0.6307259792986455,0,0.2848712188882354,0.6307259792986455,train
20150319,2015,3,0.0,Spring,0.0,0,0.6307259792986455,0,0.2848712188882354,0.6307259792986455,train
20150320,2015,3,0.0,Spring,0.0,0,0.6307259792986455,0,0.2848712188882354,0.6307259792986455,train
20150321,2015,3,0.0,Spring,0.3,1,0.6307259792986455,0,0.2848712188882354,0.3307259792986455,train
20150322,2015,3,0.3,Spring,0.6,1,0.6072863888649644,1,0.6397684354390113,0.007286388864964466,train
20150323,2015,3,0.6,Spring,0.0,0,1.6187699505883106,1,0.5645102786515289,1.6187699505883106,train
20150324,2015,3,0.0,Spring,0.0,0,0.6307259792986455,0,0.2848712188882354,0.6307259792986455,train
20150325,2015,3,0.0,Spring,11.6,1,0.6307259792986455,0,0.2848712188882354,-10.969274020701354,train
20150326,2015,3,11.6,Spring,2.3,1,4.1167067600029075,1,0.9816129946727843,1.8167067600029077,train
20150327,2015,3,2.3,Spring,2.4,1,2.6318305486852274,1,0.7497877530093813,0.23183054868522746,train
20150328,2015,3,2.4,Spring,0.0,0,2.613773285362174,0,0.49014698835674425,2.613773285362174,train
