STN,YYYYMMDD,RD,SX
919,20180311,30,0
919,20180312,0,0
919,20180313,83,0
919,20180314,33,0
919,20180315,1,0
919,20180316,90,0
919,20180317,28,2
919,20180318,0,0
919,20180319,0,0
919,20180320,0,0
919,20180321,0,0
919,20180322,39,0
919,20180323,7,0
919,20180324,1,0
919,20180325,0,0
919,20180326,0,0
919,20180327,0,0
919,20180328,36,0
919,20180329,83,0
919,20180330,20,0
919,20180331,39,0
919,20180401,83,0
919,20180402,3,0
919,20180403,6,0
919,20180404,8,0
919,20180405,142,0
919,20180406,4,0
919,20180407,0,0
919,20180408,0,0
919,20180409,0,0
919,20180410,0,0
919,20180411,172,0
919,20180412,2,0
919,20180413,1,0
919,20180414,0,0
919,20180415,46,0
919,20180416,0,0
